Product ID,VN Name,EN Name,Brand,Category,Actual Price,Discount Price,Discount Rate,Variant,Star,Rating,Sold,Link
108754,Gel Chống Nắng Bioré Màng Nước Dưỡng Ẩm Hương Hoa Mẫu Đơn 90ml,UV Aqua Rich Watery Gel SPF50+/PA++++,Bioré,Chăm Sóc Da Mặt / Chống Nắng Da Mặt,230000,176000,23,90ml,0.0,0,5.0,https://hasaki.vn/san-pham/gel-chong-nang-biore-mang-nuoc-duong-am-huong-hoa-mau-don-90ml-108754.html
93013,Nước Dưỡng Bio-essence Ngừa Lão Hóa Vàng & Hoa Hồng 100ml,Bio-Gold Rose Gold Water,Bio-essence,Chăm Sóc Da Mặt / Đặc Trị / Serum / Tinh Chất,525000,423000,19,100ml,5.0,2,2.0,https://hasaki.vn/san-pham/nuoc-duong-bio-essence-ngua-lao-hoa-tu-vang-hoa-hong-100ml-93013.html
135433,Lông Mi Giả Mlen Diary Gân Trong Suốt Oxygen Girl 5 Cặp,,Mlen Diary,Trang Điểm / Dụng Cụ Trang Điểm / Mi Giả,99000,77000,22,5 cặp,0.0,0,10.0,https://hasaki.vn/san-pham/long-mi-gia-mlen-diary-gan-trong-suot-oxygen-girl-5-cap-135433.html
88095,Chì Kẻ Mày Cathy Doll Siêu Mảnh 05 Gỗ Gụ 0.05g,Skinny Brow Pencil #05 Mahogany,Cathy Doll,Trang Điểm / Trang Điểm Mắt / Kẻ Mày,99000,79000,20,05 Mahogany ,4.7,11,9.0,https://hasaki.vn/san-pham/chi-ke-may-sieu-manh-cathy-doll-05-mahogany-0-05g-88095.html
132194,[HSD 08/2025] Lotion Dưỡng Curél Dành Cho Da Dầu 150ml,Sebum Trouble Care Sebum Care Lotion,Curél,Clearance Sale,610000,367000,40,150ml,0.0,0,2.0,https://hasaki.vn/san-pham/hsd-08-2025-lotion-duong-curel-danh-cho-da-dau-150ml-132194.html
115905,Kem Đánh Răng Bamboo Salt Muối Tre 140g,Toothpaste,Bamboo Salt,Chăm Sóc Cá Nhân / Chăm Sóc Răng Miệng / Kem Đánh Răng,48000,47000,2,140g,0.0,0,15.0,https://hasaki.vn/san-pham/kem-danh-rang-bamboo-salt-muoi-tre-140g-115905.html
125584,Phấn Nước Judydoll Cấp Ẩm Căng Bóng - N10 Tông Sáng 14g,Moisturizing Cushion Foundation,Judydoll,Trang Điểm / Trang Điểm Mặt / Phấn Nước Cushion,439000,350000,20,14g,0.0,0,3.0,https://hasaki.vn/san-pham/phan-nuoc-judydoll-cap-am-cang-bong-n10-tong-sang-14g-125584.html
92467,Bộ 2 Bàn Chải Đánh Răng Colgate Siêu Mảnh Chăm Sóc Nướu,SlimSoft Advanced,Colgate,Chăm Sóc Cá Nhân / Chăm Sóc Răng Miệng / Bàn Chải Đánh Răng,76000,64000,16,2cây,0.0,0,11.0,https://hasaki.vn/san-pham/bo-doi-ban-chai-danh-rang-colgate-sieu-manh-cham-soc-nuou-92467.html
103497,Son Dưỡng Có Màu Australis Cấp Ẩm #Lush 1.4g,Grlboss Hydrating Lip Balm,australis,Trang Điểm / Trang Điểm Môi / Son Dưỡng Môi,220000,176000,20,1.4g,5.0,8,4.0,https://hasaki.vn/san-pham/son-duong-co-mau-australis-cap-am-mau-lush-1-4g-103497.html
106067,Che Khuyết Điểm Và Tạo Khối Australis Màu Ngọc Trai 7.5ml,Fresh & Flawless Concealer #Ivory,australis,Trang Điểm / Trang Điểm Mặt / Che Khuyết Điểm,220000,176000,20,Ivory,4.8,10,4.0,https://hasaki.vn/san-pham/che-khuyet-diem-va-tao-khoi-australis-mau-ivory-7-5ml-106067.html
125640,Phấn Nước Judydoll Cấp Ẩm Căng Bóng - B15 Tông Ô Liu 14g,Moisturizing Cushion Foundation,Judydoll,Trang Điểm / Trang Điểm Mặt / Phấn Nước Cushion,439000,350000,20,14g,0.0,0,3.0,https://hasaki.vn/san-pham/phan-nuoc-judydoll-cap-am-cang-bong-b15-tong-o-liu-14g-125640.html
102477,Sơn Móng Tay Felina CS003 Màu Trắng Sữa 18ml,Nail Lacquer #CS003,Felina,Trang Điểm / Trang Điểm Móng / Sơn Móng,49000,39000,20,18ml,5.0,1,18.0,https://hasaki.vn/san-pham/son-mong-tay-felina-mau-trang-sua-cs003-18ml-102477.html
